id,question,correctAnswer,answerA,answerB,answerC,answerD
196635,phenomenon occurs twice quickly moran model wright-fisher model.,A,Genetic drift,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
207540,"coenocytic members kingdom lack septa, another group kingdom, ascomycetes, reproduces asexually using conidia.",A,Fungus,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
99,painting drawn cartoon michelangelo showing two title characters kissing.,B,Hamiltonian (quantum mechanics),Venus,Georg Wilhelm Friedrich Hegel,Group (mathematics)
196778,"geological process saw increased activity mid-cretaceous namesake ""pulse."" vine-matthews-morley hypothesis predicted that, reversals earth's magnetic field, process result alternating bands magnetically polarized rock.",A,Seafloor spreading,Cherenkov radiation,Meissner effect,Thermoelectric effect#Seebeck effect
207564,entity equal curl vector potential.,D,Moment of inertia,Angular momentum,Electric field,Magnetic field
204696,mathematical ring consists set many operations.,B,Georg Wilhelm Friedrich Hegel,2 (number),Hamiltonian (quantum mechanics),Group (mathematics)
196848,"hoecht stain binds minor groove molecule, forming g-quadruplexes.",A,DNA,Adenosine triphosphate,Cyclic adenosine monophosphate,Wolff-Kishner reduction
196854,"substance's ability form metal ligands exemplified coordination complex forms copper water, schweitzer's reagent.",B,Wolff-Kishner reduction,Ammonia,Sulfuric acid,Ketone
196860,"minerals, gladstone-dale relation used compute quantity, lorentz-lorenz equation used relate polarizability.",A,Refractive index,Electronegativity,Pauli exclusion principle,Lattice energy
196863,x-ray binaries thought consist one objects ordinary star.,A,Black hole,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
196868,adiabatic cooling causes santa ana diablo varieties phenomenon.,A,Dune,Transcription (genetics),Group (mathematics),Hamiltonian (quantum mechanics)
202113,"according turan's theorem, one entities necessarily formed four times number edges graph greater number vertices squared.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Triangle
196880,"phylum's members pair pouches split archenteron, pouch constricting three portions.",B,Xylem,Echinoderm,Sponge,Mitochondrion
196892,members group elements act electrophiles interacting lewis base namesake bonding.,D,Epoxide,Thiol,Alkyne,Halogen
196899,"structure originally thought illusion caused black reaction, existence proven electron microscope.",D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Golgi apparatus
196903,"doppler redshift associated force measured pound-rebka experiment, waves associated force searched ligo project.",B,Georg Wilhelm Friedrich Hegel,Gravity,Hamiltonian (quantum mechanics),Group (mathematics)
196909,"although lungs, antibodies target structure organs goodpasture's syndrome.",A,Kidney,Hamiltonian (quantum mechanics),Transcription (genetics),Group (mathematics)
196913,"bonded iodine, element react alkenes form cyclopropanes simmons-smith reaction.",C,Hamiltonian (quantum mechanics),Group (mathematics),Zinc,Georg Wilhelm Friedrich Hegel
196920,"quantity increases factor one plus amplitude gain miller effect, reciprocal quantity elastance.",C,Spin (physics),Electronegativity,Capacitance,Thermoelectric effect#Seebeck effect
196925,"prime number n, evaluating function quantity n minus one equal -1, modulo n, according wilson's theorem.",B,Hamiltonian (quantum mechanics),Factorial,Group (mathematics),Georg Wilhelm Friedrich Hegel
196926,two entities close proximity may experience fujiwara effect.,A,Tropical cyclone,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni
196931,presence hepatosplenomegaly help distinguish closely-related sandhoff disease disease.,D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Tay-Sachs disease
196938,"one model describing phenomenon named tomlinson, results slip-stick variety namesake parameter greater 1.",D,Angular momentum,Black hole,Torque,Friction
196941,"antiparticle first discovered chamberlain segre, tevatron used accelerate particles relativistic speeds.",B,Group (mathematics),Proton,Hamiltonian (quantum mechanics),Don Giovanni
196948,acidity oxyacids determined using number oxygen atoms present value central atom.,C,Arrhenius equation,Lattice energy,Electronegativity,Viscosity
196956,"lamport signatures stored one variety data structure, another variety structure self-balancing called red-black.",A,Tree (graph theory),Group (mathematics),Prime number,Tree (data structure)
196965,"one result objects feel heavier lighter depending direction motion, known eotvos effect.",A,Coriolis effect,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
196967,"square root quantity obtained gamma function evaluated one-half, approximated buffon's needle problem.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Pi,Group (mathematics)
196979,"precursor stage formation cells creation normoblast, express cd47 marker protect phagocytosis.",C,Don Giovanni,Group (mathematics),Red blood cell,Hamiltonian (quantum mechanics)
196984,"scientist showed quantitative link rayleigh scattering critical opalescence, also created theory stimulated emission use lasers.",D,Bessel function,Brownian motion,Magnetic monopole,Albert Einstein
196985,"like planck's constant, modern value quantity determined x-ray crystallography, experimentally determined jean perrin.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Avogadro constant,Group (mathematics)
196990,"rare, green-colored form mineral used jewelry called prasiolite.",A,Quartz,Adenosine triphosphate,Thermoelectric effect#Seebeck effect,Raman scattering
197011,"triggers landslide cause entities undergo limnic eruption, thousands people asphyxiated carbon dioxide one named nyos.",D,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics),Lake
197015,"man posited person cannot fully trust sense determining reality ""dream argument."" formulated early version ""brain vat"" thought experiment conception ""evil demon,"" argued empiricism using example melting piece wax.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Rene Descartes
197024,quantity related isospin gell-mann-nishijima equation.,B,Group (mathematics),Electric charge,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
